Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,95.0493,3.7786,718.7006,0.1588,0.281,0.471,70.842,0.725,0.4717,6.9961,0.6674
2,transolver_pp,63.5079,1.741,848.4257,0.1585,0.2989,0.5149,69.4222,0.6764,0.5156,7.8478,0.6187
3,regdgcnn,47.4285,1.4417,1079.6329,0.1816,0.3426,0.5351,78.2788,0.6511,0.5358,7.2022,0.5833
4,abupt,44.1996,8.7512,1387.1399,0.1659,0.2952,0.4952,72.8316,0.7087,0.4958,7.42,0.6669
5,pointnet,40.0,3.6681,740.1575,0.1506,0.5675,0.821,117.892,0.3094,0.8219,7.9508,0.2444
