Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,83.0472,3.7786,1604.9296,0.1391,0.2484,0.425,63.0695,0.7604,0.4256,6.7569,0.7048
2,abupt,81.9306,8.7512,2822.6457,0.1629,0.2582,0.4444,64.552,0.7501,0.445,6.6681,0.7092
3,transolver_pp,56.4545,1.741,1986.0593,0.1381,0.2507,0.4367,62.3759,0.7458,0.4374,7.0362,0.6888
4,regdgcnn,53.5726,1.4417,2223.9299,0.1577,0.2959,0.4896,70.479,0.7026,0.4903,7.0747,0.6448
5,geofno,37.8843,1.5457,445.0706,1.2032,0.3998,0.625,90.0043,0.5811,0.6258,8.1524,0.5186
6,pointnet,37.7507,3.6681,1888.0363,0.134,0.4828,0.7199,103.1019,0.4472,0.7207,7.8206,0.4192
