Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,82.5646,3.7786,2786.0388,0.139,0.2316,0.3999,60.4818,0.7779,0.4005,6.4997,0.7225
2,abupt,71.7178,8.7512,5181.7788,0.1641,0.2308,0.4025,58.4985,0.7775,0.4032,6.7277,0.7254
3,transolver_pp,62.6747,1.741,3861.3985,0.1374,0.2377,0.4206,58.1665,0.7402,0.4212,7.1128,0.6813
4,regdgcnn,44.9845,1.4417,3406.3689,0.1578,0.2783,0.4615,67.9485,0.7234,0.4622,6.7778,0.6628
5,pointnet,41.6352,3.6681,3556.3292,0.1344,0.3103,0.5144,74.2443,0.6974,0.515,7.3266,0.6532
6,geofno,36.9641,1.5457,569.192,0.8863,0.3715,0.588,85.0924,0.6218,0.5888,7.655,0.556
