Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,pointflow,100.0,0.6859,11163.8343,0.7613,0.5241,109.8134,22.6278,17.6554,131.0932,0.6998,0.096,0.0272,0.0,0.058
2,deepsdf,70.1207,2.1509,11068.8534,1.3113,0.4468,36.8435,16.9469,18.9391,129.9205,0.666,0.064,0.014,0.044,0.052
3,atlasnet,41.1059,28.7681,2431.2902,0.0207,0.5317,156.7782,53.4091,4.5711,130.9813,0.9579,0.0,0.0,0.0,0.0
4,diffusionpointcloud,41.043,3.8798,753.3728,0.0501,0.6146,427.5322,76.7606,5.1283,110.3294,0.9431,0.0,0.0,0.0,0.0
5,gan3d,40.3568,74.9842,5819.1874,0.0109,0.4332,338.1577,43.7692,17.4895,140.1352,0.7061,0.0,0.0,0.0,0.0
6,shapegf,40.0,4.8622,6219.3941,0.3881,0.4766,445.2192,68.6798,18.3134,261.2745,0.7606,0.0,0.0,0.0,0.0
