Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,pointflow,100.0,0.6859,6696.1446,0.8593,0.5274,111.7019,23.0413,17.3819,130.5005,0.7068,0.108,0.0276,0.0,0.044
2,deepsdf,55.0851,2.1509,11727.0644,1.3358,0.4543,48.8453,19.8641,18.5573,129.1917,0.6741,0.034,0.0092,0.118,0.032
3,gan3d,40.0,74.9842,2259.2297,0.0109,0.5566,340.255,239.2481,165.4598,456.3283,0.3953,0.0,0.0,0.216,0.0
