Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,deepsdf,100.0,2.1509,14574.21,1.3591,0.4364,30.549,15.7459,22.6656,136.6468,0.6644,0.106,0.028,0.108,0.076
2,pointflow,55.9109,0.6859,25991.56,0.7734,0.5273,91.2012,19.1458,17.5947,130.9302,0.7033,0.178,0.0548,0.0,0.072
3,atlasnet,46.6036,28.7681,3865.9477,0.0036,0.516,108.9269,30.5746,4.1569,121.685,0.9598,0.0,0.0,0.002,0.0
4,diffusionpointcloud,40.4019,3.8798,930.5229,0.0477,0.5971,413.6628,72.2133,4.6427,104.6197,0.9522,0.0,0.0,0.0,0.0
5,shapegf,40.0264,4.8622,4534.9879,0.3898,0.5413,431.3164,75.6164,10.1841,148.5261,0.8602,0.0,0.0,0.0,0.0
6,gan3d,40.0,74.9842,5012.2693,0.0109,0.4261,318.7021,76.6438,18.5479,134.6008,0.6832,0.0,0.0,0.0,0.0
