Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,pointflow,100.0,0.6859,9833.7792,0.9755,0.6468,52.9461,7.5453,3.8087,110.7004,0.9936,0.008,0.0016,0.016,0.006
2,deepsdf,43.9786,2.1509,8379.6039,1.3964,0.6301,61.5852,22.5501,5.9129,114.8467,0.9524,0.0,0.0,0.644,0.0
3,gan3d,40.0,74.9842,2756.756,0.0108,0.2634,334.7569,369.5244,134.7759,305.4952,0.5517,0.0,0.0,0.0,0.0
