Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,pointflow,100.0,0.6859,16805.1325,0.8354,0.6525,22.2308,5.8621,3.7734,110.847,0.9957,0.04,0.0092,0.056,0.03
2,deepsdf,43.9587,2.1509,12718.016,1.3407,0.6426,27.8219,14.7928,5.2997,110.8323,0.9732,0.0,0.0,0.008,0.0
3,gan3d,40.0,74.9842,4608.8623,0.0109,0.6066,237.0451,27.7353,5.7619,126.4806,0.967,0.0,0.0,0.0,0.0
