Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,82.0294,2.1509,32129.301,0.3867,0.4772,43.7606,10.0933,2.9899,0.1747,0.9747,0.5553,0.6188,0.206,0.3493,0.0125,0.0048
2,pointflow,72.8018,1.4268,336907.4738,0.191,0.4828,101.2764,7.1497,2.6898,0.39,0.8797,0.5633,0.3893,0.4033,0.4853,0.038,0.034
3,diffusionpointcloud,42.5441,3.8798,563.3368,0.023,0.5273,249.2234,22.256,3.49,0.0487,0.998,0.0253,0.0056,0.052,0.004,0.0796,0.0271
4,atlasnet,40.3991,28.7681,1545.934,0.0043,0.4924,120.2325,29.6767,3.0764,0.1553,0.9983,0.0,0.0,0.0,0.0,0.0415,0.3573
5,shapegf,39.6638,4.8622,329.9314,0.2773,0.523,339.2892,65.0002,12.9671,0.05,1.0,0.0,0.0,0.0,0.0,0.0885,0.3857
6,gan3d,39.4617,74.9842,85676.0632,0.2173,0.4322,312.7602,100.0717,63.9462,0.0533,1.0,0.0,0.0,0.0,0.0,0.0331,0.1123
