Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,pointflow,80.0835,1.4268,45910.5987,0.0976,0.5891,187.2146,19.346,2.736,105.4626,0.9758,0.123,0.0388,0.071,0.034
2,deepsdf,79.9586,2.1509,9622.3542,0.4356,0.543,29.414,14.6348,11.0911,119.4217,0.8356,0.051,0.0134,0.073,0.033
3,atlasnet,40.7693,28.7681,1123.8945,0.0048,0.5885,184.925,33.6163,2.5294,127.9795,0.983,0.0,0.0,0.0,0.0
4,gan3d,40.3018,74.9842,9095.1781,0.0386,0.5304,291.1696,41.3755,14.3813,137.3167,0.777,0.0,0.0,0.0,0.0
5,diffusionpointcloud,40.1694,3.8798,349.2189,0.032,0.6796,386.9191,92.9535,7.3818,115.9171,0.8926,0.0,0.0,0.0,0.0
6,shapegf,39.0,4.8622,179.0335,0.3894,0.7989,402.5832,337.9893,98.5494,343.054,0.2632,0.0,0.0,0.0,0.0
