Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),MV-FID (Value),MV-FID (Rank),MV-FID (Weight),FPD (Value),FPD (Rank),FPD (Weight),MMD-CD (Value),MMD-CD (Rank),MMD-CD (Weight),COV-CD (Value),COV-CD (Rank),COV-CD (Weight),1-NNA-CD (Value),1-NNA-CD (Rank),1-NNA-CD (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight),Manifold-Δ (Value),Manifold-Δ (Rank),Manifold-Δ (Weight),Uniformity-Δ (Value),Uniformity-Δ (Rank),Uniformity-Δ (Weight)
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,L,65.2718,0.5,1.4268,1,0.0658,103089.6448,6,0.067,0.1078,3,0.1035,0.5219,3,0.1154,177.7062,3,0.0634,17.9708,2,0.0529,2.8367,1,0.0575,0.338,1,0.0926,0.929,1,0.0535,0.664,2,0.049,0.396,2,0.049,0.09,1,0.051,0.226,2,0.049,0.0977,3,0.0626,0.0749,3,0.0678
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,M,46.5212,0.5,1.4268,1,0.0724,36194.2577,5,0.0641,0.0809,3,0.0583,0.5315,3,0.1486,260.8403,3,0.0768,32.4686,2,0.0545,3.1648,2,0.0545,0.302,1,0.0641,0.979,2,0.0543,0.408,2,0.0543,0.1288,2,0.0543,0.002,2,0.0543,0.054,2,0.0543,0.1266,4,0.0768,0.0577,3,0.0583
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,S,58.8227,0.5,1.4268,1,0.0658,11571.9228,5,0.1227,0.0667,3,0.069,0.5128,1,0.1575,283.2265,3,0.0627,34.7306,2,0.0526,3.172,2,0.0526,0.26,2,0.0497,0.987,2,0.0479,0.166,2,0.0479,0.0368,2,0.0479,0.0,2,0.0561,0.024,2,0.0479,0.1262,3,0.0627,0.0696,2,0.0569
2,dimension_3d,generation,pointflow,deepjeb_3d_3d,XL,65.4218,0.5,1.4268,1,0.0573,61903.5365,5,0.0933,0.1356,3,0.1171,0.5301,4,0.1196,142.7062,2,0.0517,14.2168,1,0.0517,2.6623,1,0.0565,0.418,1,0.066,0.864,1,0.054,0.788,2,0.0512,0.6512,2,0.0512,0.15,2,0.0497,0.406,2,0.0512,0.0845,3,0.0639,0.0717,3,0.0655
2,dimension_3d,generation,pointflow,deepwheel_3d_3d,L,64.847,0.5,1.4268,1,0.0724,220132.5913,6,0.0736,0.1887,3,0.1152,0.2665,3,0.0935,125.1347,2,0.0536,4.4462,1,0.0552,3.7817,2,0.0739,0.238,1,0.0593,0.984,3,0.0633,0.286,2,0.0526,0.1376,2,0.0526,0.35,1,0.0548,0.316,2,0.0526,0.0164,3,0.0681,0.0119,2,0.0593
2,dimension_3d,generation,pointflow,deepwheel_3d_3d,M,61.5313,0.5,1.4268,1,0.0691,43269.9281,6,0.0917,0.3887,5,0.063,0.2757,4,0.1243,155.482,2,0.0582,5.9125,2,0.0582,3.8906,2,0.0624,0.236,1,0.0615,0.998,2,0.056,0.022,2,0.056,0.0056,2,0.056,0.274,1,0.0621,0.026,2,0.056,0.0131,2,0.0624,0.0155,2,0.063
2,dimension_3d,generation,pointflow,deepwheel_3d_3d,S,46.8923,0.5,1.4268,1,0.0751,11657.1702,6,0.1377,0.0766,3,0.0696,0.2767,3,0.0571,220.4643,3,0.0577,10.411,2,0.0523,4.0247,2,0.0523,0.248,1,0.0993,1.0,2,0.0566,0.0,2,0.0566,0.0,2,0.0566,0.016,2,0.0509,0.0,2,0.0566,0.0218,3,0.0571,0.0339,2,0.0647
2,dimension_3d,generation,pointflow,deepwheel_3d_3d,XL,58.9798,0.5,1.4268,1,0.0666,468938.6541,6,0.0643,0.2465,4,0.0642,0.2649,3,0.0621,120.5905,2,0.0621,4.1904,1,0.0666,3.7284,1,0.0643,0.268,1,0.0643,0.974,1,0.0621,0.45,2,0.0599,0.2464,2,0.0599,0.356,1,0.0666,0.442,2,0.0599,0.0159,4,0.1128,0.0203,2,0.0642
2,dimension_3d,generation,deepsdf,drivaernet_3d_3d,L,61.2733,0.5,2.1509,2,0.0634,30358.9766,4,0.0625,0.3929,6,0.1143,0.6558,4,0.1555,7.8039,1,0.0517,5.6824,2,0.0495,2.0365,3,0.0541,0.102,3,0.0625,1.0,2,0.0643,0.174,2,0.0489,0.0804,1,0.0514,0.05,2,0.0489,0.182,2,0.0489,0.0209,1,0.067,0.004,1,0.0571
2,dimension_3d,generation,pointflow,drivaernet_3d_3d,M,66.9161,0.5,1.4268,1,0.0708,46946.2861,5,0.0981,0.0958,3,0.0755,0.6484,2,0.0981,113.7816,2,0.0574,6.4864,1,0.0584,1.9382,2,0.0574,0.388,1,0.0584,0.852,1,0.0927,0.004,2,0.0553,0.0008,2,0.0553,0.098,2,0.0553,0.004,2,0.0553,0.0432,2,0.0539,0.0297,2,0.0579
2,dimension_3d,generation,atlasnet,drivaernet_3d_3d,S,43.2522,0.5,28.7681,5,0.0357,1026.098,3,0.0419,0.0047,1,0.0438,0.6109,2,0.0519,161.4181,2,0.0266,30.7505,2,0.0285,2.409,2,0.0293,0.258,2,0.0285,1.0,2,0.0284,0.0,1,0.1971,0.0,1,0.1971,0.0,2,0.0284,0.0,1,0.1971,0.0644,2,0.0266,0.2831,5,0.0394
2,dimension_3d,generation,deepsdf,drivaernet_3d_3d,XL,55.1961,0.5,2.1509,2,0.0557,58633.7823,4,0.0556,0.3518,6,0.0924,0.6526,3,0.1447,12.6045,1,0.0623,7.6526,2,0.0557,1.9873,2,0.0556,0.176,2,0.0587,1.0,3,0.0836,0.068,2,0.0511,0.0252,2,0.0511,0.118,2,0.0535,0.094,2,0.0511,0.0262,4,0.0676,0.0044,1,0.0612
3,dimension_3d,generation,atlasnet,deepjeb_3d_3d,L,40.324,0.5,28.7681,5,0.0658,831.5486,3,0.067,0.0041,1,0.1035,0.5328,4,0.1154,149.61,2,0.0634,47.153,4,0.0529,3.8778,3,0.0575,0.222,2,0.0926,0.999,3,0.0535,0.0,3,0.049,0.0,3,0.049,0.0,3,0.051,0.0,3,0.049,0.1071,4,0.0626,0.4013,6,0.0678
3,dimension_3d,generation,atlasnet,deepjeb_3d_3d,M,42.1267,0.5,28.7681,5,0.0724,905.5526,3,0.0641,0.0047,1,0.0583,0.5148,2,0.1486,206.9694,2,0.0768,33.2905,3,0.0545,4.1567,3,0.0545,0.174,3,0.0641,1.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.1058,3,0.0768,0.4104,6,0.0583
3,dimension_3d,generation,atlasnet,deepjeb_3d_3d,S,41.2276,0.5,28.7681,5,0.0658,861.7991,3,0.1227,0.0047,1,0.069,0.5183,3,0.1575,189.6934,2,0.0627,44.5983,3,0.0526,4.4528,3,0.0526,0.208,4,0.0497,1.0,3,0.0479,0.0,3,0.0479,0.0,3,0.0479,0.0,2,0.0561,0.0,3,0.0479,0.1074,2,0.0627,0.3647,6,0.0569
3,dimension_3d,generation,atlasnet,deepjeb_3d_3d,XL,41.0985,0.5,28.7681,5,0.0573,1453.8361,3,0.0933,0.004,1,0.1171,0.53,3,0.1196,145.3691,3,0.0517,48.8677,4,0.0517,3.3628,3,0.0565,0.234,2,0.066,0.995,3,0.054,0.0,4,0.0512,0.0,4,0.0512,0.0,3,0.0497,0.0,4,0.0512,0.0943,4,0.0639,0.4927,6,0.0655
3,dimension_3d,generation,atlasnet,deepwheel_3d_3d,L,41.1173,0.5,28.7681,5,0.0724,2307.4807,3,0.0736,0.0046,1,0.1152,0.2888,5,0.0935,131.5409,3,0.0536,22.646,3,0.0552,3.7448,1,0.0739,0.112,3,0.0593,0.981,2,0.0633,0.0,3,0.0526,0.0,3,0.0526,0.0,3,0.0548,0.0,3,0.0526,0.01,2,0.0681,0.2344,5,0.0593
3,dimension_3d,generation,atlasnet,deepwheel_3d_3d,M,40.6436,0.5,28.7681,5,0.0691,829.7915,3,0.0917,0.0046,1,0.063,0.2986,5,0.1243,166.251,3,0.0582,14.7201,3,0.0582,4.4452,3,0.0624,0.104,3,0.0615,1.0,3,0.056,0.0,3,0.056,0.0,3,0.056,0.014,3,0.0621,0.0,3,0.056,0.0234,3,0.0624,0.2966,5,0.063
3,dimension_3d,generation,atlasnet,deepwheel_3d_3d,S,41.0802,0.5,28.7681,5,0.0751,1325.1858,3,0.1377,0.0265,2,0.0696,0.269,2,0.0571,159.4193,2,0.0577,17.669,3,0.0523,4.3162,3,0.0523,0.142,2,0.0993,1.0,2,0.0566,0.0,2,0.0566,0.0,2,0.0566,0.0,3,0.0509,0.0,2,0.0566,0.0113,2,0.0571,0.2806,5,0.0647
3,dimension_3d,generation,diffusionpointcloud,deepwheel_3d_3d,XL,42.7625,0.5,3.8798,3,0.0666,617.8443,2,0.0643,0.0294,2,0.0642,0.3173,5,0.0621,213.162,4,0.0621,8.4768,3,0.0666,4.3491,4,0.0643,0.03,4,0.0643,1.0,3,0.0621,0.0,3,0.0599,0.0,3,0.0599,0.154,3,0.0666,0.0,3,0.0599,0.0223,5,0.1128,0.022,3,0.0642
