Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,84.9358,2.1509,14957.6317,0.3976,0.4836,37.5126,8.6214,3.0326,0.1493,0.974,0.632,0.7977,0.1033,0.3827,0.0125,0.0039
2,pointflow,75.0825,1.4268,157355.1366,0.1421,0.4811,123.3749,8.7893,2.8021,0.32,0.927,0.382,0.2029,0.298,0.258,0.0468,0.0336
3,atlasnet,40.702,28.7681,1559.8453,0.0043,0.4969,126.6641,35.8213,3.1956,0.1593,0.9933,0.0,0.0,0.0,0.0,0.0471,0.2995
4,gan3d,40.2306,74.9842,61544.041,0.219,0.4036,274.044,38.2175,11.7375,0.048,1.0,0.0,0.0,0.0,0.0,0.0501,0.079
5,diffusionpointcloud,40.1688,3.8798,307.3477,0.0198,0.5512,351.3928,72.5684,5.3993,0.0193,1.0,0.0,0.0,0.0,0.0,0.1165,0.114
6,shapegf,40.0235,4.8622,214.4386,0.2742,0.4342,391.2691,118.9375,47.6431,0.082,1.0,0.0,0.0,0.0,0.0,0.1114,0.3827
