Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,74.1218,2.1509,5309.1715,0.9723,0.394,146.3909,77.8539,9.5231,0.172,0.9483,0.514,0.5183,0.2567,0.3993,0.0236,0.0027
2,pointflow,65.0952,1.4268,11953.3578,0.075,0.4805,212.8432,18.0738,3.0961,0.2867,0.9893,0.0553,0.0123,0.0107,0.008,0.065,0.0554
3,atlasnet,41.8417,28.7681,1071.0276,0.012,0.4661,170.1769,31.0059,3.726,0.2027,1.0,0.0,0.0,0.0,0.0,0.061,0.3095
4,diffusionpointcloud,40.2707,3.8798,110.11,0.0201,0.6303,394.4899,89.9305,11.3426,0.0147,1.0,0.0,0.0,0.0,0.0,0.1233,0.1738
5,gan3d,40.1282,74.9842,13083.1899,0.215,0.4941,355.1295,201.0959,12.1886,0.168,1.0,0.0,0.0,0.0,0.0,0.0955,0.1755
6,shapegf,39.0,4.8622,63.196,0.2737,0.707,386.5305,345.4533,66.8045,0.0253,1.0,0.0,0.0,0.0,0.0,0.1154,0.4165
